itemNumber,name,chineseName,description,Price,quantity,mainCategory,categories,vegetarian
148,Chicken Chow Mein,雞炒麵 (沙爹汁),In Satay Sauce,5.1,,ChowMein,"ChowMein,Chicken",FALSE
149,Beef Chow Mein,牛炒麵 (沙爹汁),In Satay Sauce,5.2,,ChowMein,"ChowMein,Beef",FALSE
150,King Prawn Chow Mein,大蝦炒麵 (沙爹汁),In Satay Sauce,5.6,,ChowMein,"ChowMein,Seafood",FALSE
151,House Special Chow Mein,招牌炒麵 (豉椒汁),In Black Bean Sauce,5.7,,ChowMein,"ChowMein,Chicken,Beef,Pork,Seafood",FALSE
152,Roast Pork Chow Mein,叉燒炒麵 (豉椒汁),In Black Bean Sauce,5.1,,ChowMein,"ChowMein,Pork",FALSE
153,Chicken Chow Mein,雞炒麵 (豉椒汁),In Black Bean Sauce,5.1,,ChowMein,"ChowMein,Chicken",FALSE
154,Beef Chow Mein,牛炒麵 (豉椒汁),In Black Bean Sauce,5.2,,ChowMein,"ChowMein,Beef",FALSE
155,King Prawn Chow Mein,大蝦炒麵 (豉椒汁),In Black Bean Sauce,5.6,,ChowMein,"ChowMein,Seafood",FALSE
156,Spicy Singapore-style fried Vermicelli,星州炒米,,5.6,,ChowMein,"ChowMein,Seafood,Pork",FALSE
157,Vegetarian Singapore-style Fried Vermicelli,星州什菜炒米,,5.3,,ChowMein,"ChowMein,Vegetarian",TRUE
158,Fried Beanprouts,炒芽菜,,2.9,,Extra,"Extra,Vegetarian",TRUE
159,Fried Mushrooms,炒蘑菇,,2.9,,Extra,"Extra,Vegetarian",TRUE
160,Fried Mixed Vegetable,炒什菜,,2.9,,Extra,"Extra,Vegetarian",TRUE
161,Fried Onion,炒洋蔥,,2.9,,Extra,"Extra,Vegetarian",TRUE
162,Curry Sauce,咖喱汁,,1.5,,Extra,"Extra,Vegetarian",TRUE
163,Sweet and Sour Sauce,咕嚕汁,,1.5,,Extra,"Extra,Vegetarian,SweetSour",TRUE
164,Peking Sauce,京汁,,1.5,,Extra,"Extra,Vegetarian",TRUE
165,Barbecue Sauce,燒汁,,1.5,,Extra,Extra,FALSE
166,Chips,薯條,,1.8,,Extra,"Extra,Vegetarian",TRUE
167,Chips in Salt & Chilli,椒鹽薯條,,2.9,,Extra,"Extra,Vegetarian",TRUE
S1,"Chicken Balls with Fried Rice, Chips & Sauce",雞球/蛋炒飯/薯條(汁),5 Chicken Balls,6.5,,Special,"Special,Rice,Chicken,SweetSour",FALSE
S2,"Chicken Balls With Fried Noodles, Fried Rice & Sauce",雞球/炒麵/蛋炒飯 (汁),5 Chicken Balls,6.5,,Special,"Special,Chicken,Rice,SweetSour",FALSE
S3,Chicken Curry with Fried Rice & Chicken Balls,咖喱雞/蛋炒飯/雞球,5 Chicken Balls,6.5,,Special,"Special,Chicken,Curry,Rice,SweetSour",FALSE
S4,Beef Curry with Fried Rice & Chicken Balls,咖喱牛/蛋炒飯/雞球,5 Chicken Balls,6.5,,Special,"Special,Beef,Rice,Chicken,SweetSour",FALSE
S5,Chicken in Black Bean Sauce with Pancake Rolls & Fried Rice,豉汁雞/春卷/蛋炒飯,,6.5,,Special,"Special,Chicken,Rice",FALSE
S6,Beef Chicken in Black Bean Sauce with Pancake Rolls & Fried Rice,豉汁牛/春卷/蛋炒飯,,6.5,,Special,"Special,Beef,Rice",FALSE
S7,Chicken with Water Chestnuts & Bamboo Shoots with Fried Rice & Pancake Rolls,竹筍雞/炒飯/春卷,,6.5,,Special,"Special,Chicken,Rice",FALSE
S8,Beef with Water Chestnuts & Bamboo Shoots with Fried Rice & Pancake Rolls,竹筍牛/炒飯/春卷,,6.5,,Special,"Special,Beef,Rice",FALSE
S9,Chicken Chop Suey with Fried Rice & Pancake Rolls,雞什水/炒飯/春卷,,6.5,,Special,"Special,Chicken,ChopSuey,Rice",FALSE
S10,Beef Chop Suey with Fried Rice & Pancake Rolls,牛什水/炒飯/春卷,,6.5,,Special,"Special,Beef,ChopSuey,Rice",FALSE
S11,Chicken in Oyster Sauce with Fried Rice & Chicken Balls,蠔油雞/蛋炒飯/雞球,5 Chicken Balls,6.5,,Special,"Special,Chicken,SweetSour",FALSE
S12,Beef in Oyster Sauce with Fried Rice & Chicken Balls,蠔油牛/蛋炒飯/雞球,5 Chicken Balls,6.5,,Special,"Special,Beef,Chicken,SweetSour",FALSE
S13,Mixed Vegetables in Black Bean Sauce with Vegetarian Pancake Rolls & Fried Rice,豉汁什菜/春卷/蛋炒飯,,6.5,,Special,"Special,Rice,Vegetarian",TRUE
